Date;Suburb;Status;Location;Area;Minimum temperature (�C);Maximum temperature (�C);Rainfall (mm);Evaporation (mm);Sunshine (hours);Speed of maximum wind gust (km/h);Time of maximum wind gust
12/1/23;Wanneroo;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,06;35.03.00;0;7,06;12,06;33;16.21
12/1/23;Mariginiup;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15,03;37;0;14,02;12,06;54;05.57
12/1/23;Hamersley;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,06;35.03.00;0;7,06;12,06;33;16.21
12/1/23;Wanneroo;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,06;35.03.00;0;7,06;12,06;33;16.21
12/1/23;Mariginiup;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15,03;37;0;14,02;12,06;54;05.57
12/1/23;Wanneroo;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,06;35.03.00;0;7,06;12,06;33;16.21
12/1/23;Mariginiup;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15,03;37;0;14,02;12,06;54;05.57
12/1/23;Hamersley;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,06;35.03.00;0;7,06;12,06;33;16.21
12/8/23;Hamersley;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;15,02;24.07.00;0;7,04;13;50;16.14
12/8/23;Bullsbrook;ADVICE;BULLSBROOK;CITY OF SWAN;13,04;27.04.00;0;14,02;13;52;22.39
12/8/23;Bullsbrook;ADVICE;BULLSBROOK;CITY OF SWAN;13,04;27.04.00;0;14,02;13;52;22.39
12/8/23;Mandogalup;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;3,03;26.00.00;0;14,02;13;54;14.15
12/8/23;The Spectacles;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;54;14.15
12/8/23;Anketell;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;54;14.15
12/8/23;Mandogalup;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;3,03;26.00.00;0;14,02;13;54;14.15
12/8/23;The Spectacles;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;54;14.15
12/8/23;Anketell;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;54;14.15
12/8/23;Mandogalup;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;3,03;26.00.00;0;14,02;13;54;14.15
12/8/23;The Spectacles;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;54;14.15
12/8/23;Anketell;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;54;14.15
12/8/23;Postans;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,01;26.01.00;0;7,04;13;56;14.54
12/8/23;Mandogalup;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;3,03;26.00.00;0;14,02;13;54;14.15
12/8/23;The Spectacles;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;54;14.15
12/8/23;Anketell;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;54;14.15
12/8/23;Postans;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,01;26.01.00;0;7,04;13;56;14.54
12/15/23;Stratton;ADVICE;MIDDLE SWAN and STRATTON;CITY OF SWAN;15,06;33.08.00;0;10,08;12,07;37;07.26
12/15/23;Middle Swan;ADVICE;MIDDLE SWAN and STRATTON;CITY OF SWAN;15,06;33.08.00;0;10,08;12,07;37;07.26
12/15/23;Stratton;ADVICE;MIDDLE SWAN and STRATTON;CITY OF SWAN;15,06;33.08.00;0;10,08;12,07;37;07.26
12/15/23;Middle Swan;ADVICE;MIDDLE SWAN and STRATTON;CITY OF SWAN;15,06;33.08.00;0;10,08;12,07;37;07.26
12/15/23;Jindalee;ADVICE;JINDALEE;CITY OF WANNEROO;13,08;32.09.00;0;14,02;12,05;70;03.53
12/22/23;The Spectacles;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;22,07;31.06.00;0;14,02;12,06;39;00.17
12/22/23;Postans;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;31.08.00;0;12,06;12,06;37;00.50
12/22/23;Mundaring;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,08;33.04.00;0;14,02;12,05;63;01.18
12/22/23;Parkerville;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,04;36.07.00;0;14,02;12,05;89;02.02
12/22/23;The Spectacles;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;22,07;31.06.00;0;14,02;12,06;39;00.17
12/22/23;Postans;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;31.08.00;0;12,06;12,06;37;00.50
12/22/23;Mundaring;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,08;33.04.00;0;14,02;12,05;63;01.18
12/22/23;Parkerville;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,04;36.07.00;0;14,02;12,05;89;02.02
12/22/23;Mundaring;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,08;33.04.00;0;14,02;12,05;63;01.18
12/22/23;Parkerville;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,04;36.07.00;0;14,02;12,05;89;02.02
12/22/23;Gidgegannup;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,05;32.08.00;0;12,06;12,06;30;11.31
12/22/23;Wooroloo;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,05;32.08.00;0;12,06;12,06;30;11.31
12/22/23;Bailup;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;17,01;32.08.00;0;11,01;11,01;30;11.31
12/22/23;Mundaring;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;20,08;33.04.00;0;14,02;12,05;63;01.18
12/29/23;Gidgegannup;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;17,07;33;0;10,02;11;56;02.49
12/29/23;Wooroloo;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;17,07;33;0;10,02;11;56;02.49
12/29/23;Bailup;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;17,07;33;0;10,02;11;56;02.49
