Date;Suburb;Location;Area;Minimum_temperature (C);Maximum_temperature (C);Evaporation(mm);Sunshine(hours);Speed_of_maximum_wind_gust(km/h)
12/22/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;20,08;33;14,02;12,05;63
12/22/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;20,04;36;14,02;12,05;89
12/22/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;22,07;31;14,02;12,06;39
12/22/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;31;12,06;12,06;37
12/22/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;20,08;33;14,02;12,05;63
12/22/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;20,04;36;14,02;12,05;89
12/22/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;20,08;33;14,02;12,05;63
12/22/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;20,04;36;14,02;12,05;89
12/22/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,05;32;12,06;12,06;30
12/22/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,05;32;12,06;12,06;30
12/22/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;17,01;32;11,01;11,01;30
12/22/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;20,08;33;14,02;12,05;63
12/29/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;17,07;33;10,02;11;56
12/29/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;17,07;33;10,02;11;56
12/29/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;17,07;33;10,02;11;56
12/29/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;15,06;31;14,02;12,05;80
2/9/24;Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;Belmont;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;Ascot;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;Perth Airport;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;Redcliffe;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;South Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;South Perth;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;Belmont;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;Ascot;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;Perth Airport;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;Redcliffe;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;South Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;South Perth;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;20,02;43;14,02;12,05;35
2/9/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;20,02;43;14,02;12,05;35
2/9/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;23;43;14,02;12,05;52
2/9/24;Jarrahdale;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,02;43;14,02;12,05;35
2/9/24;Casuarina;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41;14,02;12,05;31
2/9/24;Oldbury;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;21;42;14,02;12,05;44
2/9/24;Serpentine;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41;14,02;12,05;31
2/9/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;21,07;44;14,02;12,05;41
2/9/24;Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;Belmont;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;Ascot;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;Perth Airport;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;Redcliffe;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;South Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43;14,02;12,05;46
2/9/24;South Perth;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;14,02;12,05;33
2/9/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;21,07;44;14,02;12,05;41
2/9/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;21,07;44;14,02;12,05;41
2/9/24;Jarrahdale;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,02;43;14,02;12,05;35
2/9/24;Casuarina;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41;14,02;12,05;31
2/9/24;Oldbury;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;21;42;14,02;12,05;44
2/9/24;Serpentine;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41;14,02;12,05;31
2/9/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;21,07;44;14,02;12,05;41
2/9/24;Spearwood;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42;14,02;12,05;44
2/9/24;Bibra Lake;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42;14,02;12,05;44
2/9/24;Coogee;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42;14,02;12,05;44
2/9/24;Spearwood;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42;14,02;12,05;44
2/9/24;Coogee;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42;14,02;12,05;44
2/9/24;Munster;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42;14,02;12,05;44
1/5/24;East Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17;28;14,02;12,05;52
1/5/24;Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17;28;14,02;12,05;52
1/12/24;Jarrahdale;JARRAHDALE;SHIRE OF SERPENTINE-JARRAHDALE;19,07;38;9,02;13;43
1/12/24;Oakford;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;19,03;37;14,02;13;52
1/12/24;Serpentine;SERPENTINE;SHIRE OF SERPENTINE-JARRAHDALE;19,01;36;14,02;12,05;52
1/19/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,04;27;10,02;12,08;37
1/26/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;16,06;32;14,02;13;39
1/26/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;16,06;32;14,02;13;39
12/4/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,04;26;8;11,08;33
12/4/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;16,01;26;8;10,01;43
12/4/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,04;26;8;11,08;33
12/4/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;16,05;29;14,02;11,08;48
12/4/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;16,01;26;8;10,01;43
12/4/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,04;26;8;11,08;33
12/18/23;Kalamunda;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14,09;30;14,02;12,05;70
