Date;Suburb;Location;Area;Minimum_temperature (C);Maximum_temperature (C);Evaporation(mm);Sunshine(hours);Speed_of_maximum_wind_gust(km/h)
1/13/24;Wanneroo;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;23,02;40;11;11,03;33
1/13/24;Pinjar;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;22,09;41;11;11,03;57
1/13/24;Yanchep;BAMBUN, MUCHEA, YANCHEP and YEAL;SHIRES OF GINGIN and CHITTERING and the CITY OF WANNEROO;;43;14,02;12,05;44
1/13/24;Wanneroo;BAMBUN, MUCHEA, YANCHEP and YEAL;SHIRES OF GINGIN and CHITTERING and the CITY OF WANNEROO;23,02;40;11;11,03;33
1/13/24;Success;BEELIAR and SUCCESS;CITY OF COCKBURN;23,06;40;14,02;11,03;44
1/13/24;Beeliar;BEELIAR and SUCCESS;CITY OF COCKBURN;23,06;40;14,02;11,03;44
1/13/24;Gnangara;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;23,02;40;11;11,03;33
1/13/24;Wanneroo;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;23,02;40;11;11,03;33
1/13/24;Pinjar;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;22,09;41;11;11,03;57
1/13/24;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;22,09;41;11;11,03;57
1/27/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;16,06;32;14,02;13;39
1/27/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;16,06;32;14,02;13;39
12/3/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;18,01;27;6,08;8,01;33
12/3/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,03;26;6,08;9,08;30
12/3/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15,04;28;14,02;9,08;37
12/3/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,03;26;6,08;9,08;30
12/3/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,03;26;6,08;9,08;30
12/3/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15,04;28;14,02;9,08;37
12/3/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,03;26;6,08;9,08;30
12/10/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;14,01;31;10,08;13,03;57
12/10/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;14,05;31;14,02;13,03;50
12/10/23;Jarrahdale;OLDBURY and WELLARD;SHIRE OF SERPENTINE-JARRAHDALE and the CITY OF KWINANA;14,04;31;10,08;13,03;33
12/10/23;Wellard;OLDBURY and WELLARD;SHIRE OF SERPENTINE-JARRAHDALE and the CITY OF KWINANA;15;31;14,02;12,05;50
12/10/23;Oldbury;OLDBURY and WELLARD;SHIRE OF SERPENTINE-JARRAHDALE and the CITY OF KWINANA;14,02;31;14,02;13,03;52
12/10/23;Serpentine;OLDBURY and WELLARD;SHIRE OF SERPENTINE-JARRAHDALE and the CITY OF KWINANA;15;31;14,02;12,05;50
12/10/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;14,01;31;10,08;13,03;57
12/17/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;18,07;35;14,02;13,02;54
12/17/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;18,07;35;14,02;13,02;54
12/24/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;16,06;36;12,08;12,04;52
12/24/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;13,04;33;14,02;12,05;33
12/24/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,01;31;14,02;12,05;50
12/24/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;16,06;34;14,02;12,04;57
12/24/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;16,06;36;12,08;12,04;54
12/24/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;14,08;36;14,02;12,05;78
12/24/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;14,08;36;14,02;12,05;78
12/24/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;16,06;36;12,08;12,04;52
12/24/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;16,06;36;12,08;12,04;52
12/24/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;15,01;36;11,01;11,01;52
12/24/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;14,08;36;14,02;12,05;78
12/24/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;16,06;36;12,08;12,04;52
12/24/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;13,04;33;14,02;12,05;33
12/24/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,01;31;14,02;12,05;50
12/24/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;16,06;36;12,08;12,04;54
12/24/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;16,06;34;14,02;12,04;57
12/24/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;16,06;36;12,08;12,04;54
12/24/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;14,08;36;14,02;12,05;78
12/24/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;14,08;36;14,02;12,05;78
12/24/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;16,06;36;12,08;12,04;52
12/24/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;13,04;33;14,02;12,05;33
12/24/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,01;31;14,02;12,05;50
12/24/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;16,06;36;12,08;12,04;52
12/24/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;16,06;36;12,08;12,04;52
12/24/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;15,01;36;11,01;11,01;52
12/24/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;14,08;36;14,02;12,05;78
12/24/23;Kalamunda;WATTLE GROVE;CITY OF KALAMUNDA;14,08;36;14,02;12,05;78
12/24/23;Wattle Grove;WATTLE GROVE;CITY OF KALAMUNDA;14,08;36;14,02;12,05;78
12/24/23;Kalamunda;WATTLE GROVE;CITY OF KALAMUNDA;14,08;36;14,02;12,05;78
12/24/23;Wattle Grove;WATTLE GROVE;CITY OF KALAMUNDA;14,08;36;14,02;12,05;78
12/24/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;16,06;36;12,08;12,04;52
12/24/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;13,04;33;14,02;12,05;33
12/24/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,01;31;14,02;12,05;50
12/31/23;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;18,09;33;9;13,01;44
2/4/24;Swan View;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN and SHIRE OF MUNDARING;14,04;28;14,02;12,05;57
2/4/24;Stratton;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN and SHIRE OF MUNDARING;16;28;11;12,07;39
2/4/24;Mundaring;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN and SHIRE OF MUNDARING;15,06;27;11;12,07;56
2/4/24;Midvale;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN and SHIRE OF MUNDARING;14,04;28;14,02;12,05;57
2/4/24;Swan View;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;14,04;28;14,02;12,05;57
2/4/24;Stratton;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;16;28;11;12,07;39
2/4/24;Midvale;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;14,04;28;14,02;12,05;57
2/11/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;16,06;42;14,02;12,04;35
2/11/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;16,06;42;14,02;12,04;35
2/18/24;Gwelup;GWELUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Stirling;GWELUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Karrinyup;GWELUP and KARRINYUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Gwelup;GWELUP and KARRINYUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Stirling;GWELUP and KARRINYUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Karrinyup;GWELUP and KARRINYUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Gwelup;GWELUP and KARRINYUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Stirling;GWELUP and KARRINYUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Karrinyup;GWELUP and KARRINYUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Gwelup;GWELUP and KARRINYUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
2/18/24;Stirling;GWELUP and KARRINYUP;CITY OF STIRLING;23,04;42;10,04;6,02;30
1/7/24;Yanchep;CARABOODA and YANCHEP;CITY OF WANNEROO;15;38;14,02;12,05;46
1/7/24;Wanneroo;CARABOODA and YANCHEP;CITY OF WANNEROO;18,01;36;9,02;12,07;37
1/7/24;Carabooda;CARABOODA and YANCHEP;CITY OF WANNEROO;15;38;14,02;12,05;46
1/7/24;Jarrahdale;OLDBURY;SHIRE OF SERPENTINE-JARRAHDALE;16,09;37;9,02;12,07;30
1/7/24;Oldbury;OLDBURY;SHIRE OF SERPENTINE-JARRAHDALE;16,07;35;14,02;12,07;39
1/7/24;Serpentine;OLDBURY;SHIRE OF SERPENTINE-JARRAHDALE;19,02;30;14,02;12,05;43
1/7/24;East Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;19,02;30;14,02;12,05;43
1/7/24;Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;19,02;30;14,02;12,05;43
1/7/24;East Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;19,02;30;14,02;12,05;43
1/7/24;Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17,01;37;9,02;12,07;50
1/7/24;Yanchep;Yanchep National Park;CITY OF WANNEROO;15;38;14,02;12,05;46
1/7/24;Wanneroo;Yanchep National Park;CITY OF WANNEROO;18,01;36;9,02;12,07;37
1/14/24;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;23,04;41;11,02;12,07;52
1/14/24;Gnangara;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;23,03;36;11,02;12,07;24
1/14/24;Wanneroo;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;23,03;36;11,02;12,07;24
1/14/24;Pinjar;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;23,04;41;11,02;12,07;52
1/14/24;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;23,04;41;11,02;12,07;52
1/14/24;Gnangara;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;23,03;36;11,02;12,07;24
1/14/24;Wanneroo;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;23,03;36;11,02;12,07;24
1/14/24;Pinjar;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;23,04;41;11,02;12,07;52
1/28/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;13,03;28;14,02;12,01;44
1/28/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;13,03;28;14,02;12,01;44
12/7/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;17,06;25;10,04;7,07;46
12/7/23;Postans;POSTANS;CITY OF KWINANA;16,01;27;10,04;7,07;52
12/7/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;17,06;25;10,04;7,07;46
12/7/23;Postans;POSTANS;CITY OF KWINANA;16,01;27;10,04;7,07;52
12/21/23;Kwinana Town Centre;BERTRAM, KWINANA TOWN CENTRE, ORELIA, PARMELIA, POSTANS and THE SPECTACLES;CITY OF KWINANA;23;35;14,02;12,05;56
12/21/23;The Spectacles;BERTRAM, KWINANA TOWN CENTRE, ORELIA, PARMELIA, POSTANS and THE SPECTACLES;CITY OF KWINANA;22,02;36;14,02;9,06;57
12/21/23;Bertram;BERTRAM, KWINANA TOWN CENTRE, ORELIA, PARMELIA, POSTANS and THE SPECTACLES;CITY OF KWINANA;23;35;14,02;12,05;56
12/21/23;Postans;BERTRAM, KWINANA TOWN CENTRE, ORELIA, PARMELIA, POSTANS and THE SPECTACLES;CITY OF KWINANA;22,04;38;22,08;9,06;72
12/21/23;Orelia;BERTRAM, KWINANA TOWN CENTRE, ORELIA, PARMELIA, POSTANS and THE SPECTACLES;CITY OF KWINANA;23;35;14,02;12,05;56
12/21/23;Parmelia;BERTRAM, KWINANA TOWN CENTRE, ORELIA, PARMELIA, POSTANS and THE SPECTACLES;CITY OF KWINANA;23;35;14,02;12,05;56
12/21/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;22,02;36;14,02;9,06;57
12/21/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;22,04;38;22,08;9,06;72
12/21/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;22,02;36;14,02;9,06;57
12/21/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;22,04;38;22,08;9,06;72
12/28/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18;30;9,02;11,04;59
12/28/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18;30;9,02;11,04;59
12/28/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18;30;9,02;11,04;59
12/28/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;16,07;30;14,02;12,05;74
12/28/23;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;18,02;31;9,02;11,04;78
12/28/23;Armadale;ROLEYSTONE;CITY OF ARMADALE;18;30;14,02;11,04;65
12/28/23;Roleystone;ROLEYSTONE;CITY OF ARMADALE;15,01;27;14,02;12,05;70
12/28/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18;30;9,02;11,04;59
12/28/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18;30;9,02;11,04;59
12/28/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18;30;9,02;11,04;59
12/28/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;16,07;30;14,02;12,05;74
2/1/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;23,03;41;14,02;12,07;37
2/1/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;23,03;41;14,02;12,07;37
2/8/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;18,03;41;14,02;12,07;41
2/8/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;18,03;41;14,02;12,07;41
2/8/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;18,05;40;11,08;12,07;35
2/8/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;18,05;40;11,08;12,07;35
2/8/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;21,09;40;14,02;12,05;59
2/8/24;Casuarina;CASUARINA and OLDBURY;CITY OF KWINANA;18,01;36;14,02;12,05;39
2/8/24;Oldbury;CASUARINA and OLDBURY;CITY OF KWINANA;17,05;40;14,02;12,07;41
2/8/24;Jarrahdale;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;18,05;40;11,08;12,07;35
2/8/24;Casuarina;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;18,01;36;14,02;12,05;39
2/8/24;Oldbury;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;17,05;40;14,02;12,07;41
2/8/24;Serpentine;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;18,01;36;14,02;12,05;39
2/8/24;Jarrahdale;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;18,05;40;11,08;12,07;35
2/8/24;Casuarina;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;18,01;36;14,02;12,05;39
2/8/24;Oldbury;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;17,05;40;14,02;12,07;41
2/8/24;Serpentine;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;18,01;36;14,02;12,05;39
2/8/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;18,05;40;11,08;12,07;35
2/8/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;18,05;40;11,08;12,07;35
2/8/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;21,09;40;14,02;12,05;59
2/8/24;Jarrahdale;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;18,05;40;11,08;12,07;35
2/8/24;Casuarina;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;18,01;36;14,02;12,05;39
2/8/24;Oldbury;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;17,05;40;14,02;12,07;41
2/8/24;Serpentine;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;18,01;36;14,02;12,05;39
2/8/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;18,03;41;14,02;12,07;41
2/8/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;18,03;41;14,02;12,07;41
2/22/24;Eglinton;EGLINTON and YANCHEP;CITY OF WANNEROO;17,04;32;8,06;12,01;35
2/22/24;Yanchep;EGLINTON and YANCHEP;CITY OF WANNEROO;17,07;32;14,02;12,05;48
2/22/24;Wanneroo;EGLINTON and YANCHEP;CITY OF WANNEROO;17,04;32;8,06;12,01;35
2/22/24;Eglinton;EGLINTON and YANCHEP;CITY OF WANNEROO;17,04;32;8,06;12,01;35
2/22/24;Yanchep;EGLINTON and YANCHEP;CITY OF WANNEROO;17,07;32;14,02;12,05;48
2/22/24;Wanneroo;EGLINTON and YANCHEP;CITY OF WANNEROO;17,04;32;8,06;12,01;35
2/29/24;Wanneroo;NEERABUP and NOWERGUP;CITY OF WANNEROO;15,09;33;7,08;12;39
2/29/24;Nowergup;NEERABUP and NOWERGUP;CITY OF WANNEROO;16,03;36;7,08;12;37
2/29/24;Neerabup;NEERABUP and NOWERGUP;CITY OF WANNEROO;17;37;14,02;12;39
2/29/24;Karnup;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;17,01;37;7,08;12;41
2/29/24;Baldivis;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;14,01;33;14,02;12,05;54
2/29/24;Rockingham;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;17,08;24;14,02;12,05;59
2/29/24;Karnup;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;17,01;37;7,08;12;41
2/29/24;Baldivis;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;14,01;33;14,02;12,05;54
2/29/24;Rockingham;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;17,08;24;14,02;12,05;59
2/29/24;Wanneroo;NEERABUP and NOWERGUP;CITY OF WANNEROO;15,09;33;7,08;12;39
2/29/24;Nowergup;NEERABUP and NOWERGUP;CITY OF WANNEROO;16,03;36;7,08;12;37
2/29/24;Neerabup;NEERABUP and NOWERGUP;CITY OF WANNEROO;17;37;14,02;12;39
2/29/24;Karnup;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;17,01;37;7,08;12;41
2/29/24;Baldivis;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;14,01;33;14,02;12,05;54
2/29/24;Rockingham;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;17,08;24;14,02;12,05;59
2/29/24;Karnup;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;17,01;37;7,08;12;41
2/29/24;Baldivis;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;14,01;33;14,02;12,05;54
2/29/24;Rockingham;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;17,08;24;14,02;12,05;59
2/29/24;Bertram;BERTRAM;CITY OF KWINANA;17,08;24;14,02;12,05;59
1/4/24;East Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17,01;31;14,02;12,05;56
1/4/24;Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17,01;31;14,02;12,05;56
1/18/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,02;26;10;11;35
1/18/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,02;26;10;11;35
12/5/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;16,08;28;8,04;9,04;39
12/5/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;16,08;28;8,04;9,04;39
12/26/23;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;21,01;28;10,06;9,05;41
12/26/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;20,02;28;10,06;9,05;33
12/26/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;20,02;28;10,06;9,05;33
12/26/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,01;27;9,01;8,01;33
12/26/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,07;28;14,02;12,05;44
12/26/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;19,07;28;14,02;12,05;44
12/26/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;19,07;28;14,02;12,05;44
12/26/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;20,02;28;10,06;9,05;33
12/26/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17;27;14,02;12,05;33
12/26/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;20,02;24;14,02;12,05;54
12/26/23;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;21,01;28;10,06;9,05;41
12/26/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;20,02;28;10,06;9,05;33
12/26/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17;27;14,02;12,05;33
12/26/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;20,02;24;14,02;12,05;54
12/26/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;20,02;28;10,06;9,05;33
12/26/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;20,02;28;10,06;9,05;33
12/26/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,01;27;9,01;8,01;33
12/26/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,07;28;14,02;12,05;44
12/26/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;19,07;28;14,02;12,05;44
12/26/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;19,07;28;14,02;12,05;44
2/6/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;15,09;33;8,08;12,06;35
2/6/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;15,09;33;8,08;12,06;35
2/6/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;15,01;32;14,02;12,05;57
2/6/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;15,09;33;8,08;12,06;35
2/6/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;15,09;33;8,08;12,06;35
2/6/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;15,01;32;14,02;12,05;57
2/13/24;Gosnells;MARTIN;CITY OF GOSNELLS;18,08;36;14,02;12,04;52
2/20/24;Bibra Lake;BIBRA LAKE;CITY OF COCKBURN;;40;11,04;12;31
1/9/24;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;17,04;33;12,04;13;48
1/16/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,07;38;9;13;43
1/16/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,07;38;9;13;43
1/16/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,07;38;9;13;43
1/16/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,07;38;9;13;43
1/16/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,07;38;9;13;43
